source	target	weight	correlation
PASV1	PASV16	1	1
PASV1	PASV583	0.985610760609162	-0.985610760609162
PASV3	PASV76	1	-1
PASV3	PASV358	1	-1
PASV3	PASV490	1	-1
PASV5	ASV243	0.985610760609162	0.985610760609162
PASV8	ASV388	1	-1
PASV9	PASV88	1	1
PASV9	PASV3230	0.985610760609162	-0.985610760609162
PASV9	PASV598	0.985610760609162	0.985610760609162
PASV9	ASV526	0.985610760609162	-0.985610760609162
PASV19	PASV181	0.985610760609162	-0.985610760609162
PASV13	PASV522	0.985610760609162	0.985610760609162
PASV13	PASV2558	0.985610760609162	-0.985610760609162
PASV13	ASV76	0.985610760609162	0.985610760609162
PASV13	ASV16	1	1
PASV11	PASV290	0.985610760609162	-0.985610760609162
PASV20	ASV59	0.985610760609162	0.985610760609162
PASV30	PASV747	1	1
PASV30	PASV1010	0.985610760609162	0.985610760609162
PASV30	ASV201	0.985610760609162	0.985610760609162
PASV16	PASV583	0.985610760609162	-0.985610760609162
PASV15	PASV2419	0.985610760609162	-0.985610760609162
PASV17	ASV918	0.985610760609162	0.985610760609162
PASV41	PASV48	0.985610760609162	0.985610760609162
PASV41	PASV749	0.985610760609162	-0.985610760609162
PASV41	ASV262	0.985610760609162	-0.985610760609162
PASV24	PASV75	1	1
PASV24	PASV154	0.985610760609162	0.985610760609162
PASV24	PASV306	0.985610760609162	0.985610760609162
PASV24	ASV613	0.985610760609162	-0.985610760609162
PASV24	ASV348	0.985610760609162	0.985610760609162
PASV25	ASV183	1	-1
PASV25	ASV278	1	-1
PASV23	PASV866	1	-1
PASV28	ASV175	0.985610760609162	0.985610760609162
PASV42	PASV64	0.985610760609162	0.985610760609162
PASV42	PASV567	0.985610760609162	-0.985610760609162
PASV42	PASV584	0.985610760609162	-0.985610760609162
PASV44	PASV519	0.985610760609162	0.985610760609162
PASV44	PASV494	1	1
PASV44	ASV310	0.985610760609162	0.985610760609162
PASV35	PASV119	1	1
PASV35	PASV151	0.985610760609162	0.985610760609162
PASV35	PASV362	0.985610760609162	-0.985610760609162
PASV35	ASV132	0.985610760609162	-0.985610760609162
PASV54	PASV154	0.985610760609162	-0.985610760609162
PASV54	ASV156	0.985610760609162	-0.985610760609162
PASV179	PASV636	0.985610760609162	-0.985610760609162
PASV78	PASV163	0.985610760609162	0.985610760609162
PASV78	PASV219	1	1
PASV78	PASV475	0.985610760609162	-0.985610760609162
PASV78	PASV254	1	-1
PASV78	ASV373	0.985610760609162	0.985610760609162
PASV78	ASV277	1	1
PASV45	PASV265	0.985610760609162	-0.985610760609162
PASV87	BN8	0.985610760609162	0.985610760609162
PASV29	PASV344	1	-1
PASV29	PASV713	0.985610760609162	0.985610760609162
PASV56	PASV176	0.985610760609162	0.985610760609162
PASV56	PASV142	0.985610760609162	-0.985610760609162
PASV36	PASV349	0.985610760609162	-0.985610760609162
PASV93	PASV149	0.985610760609162	0.985610760609162
PASV34	ASV445	1	-1
PASV34	ASV448	1	1
PASV34	ASV196	0.985610760609162	-0.985610760609162
PASV50	PASV393	0.985610760609162	-0.985610760609162
PASV111	ASV146	1	1
PASV58	PASV492	0.985610760609162	0.985610760609162
PASV74	PASV217	0.985610760609162	-0.985610760609162
PASV74	PASV431	0.985610760609162	0.985610760609162
