node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
PASV1	2	1.98561076060916	0.112550683311801	0	0
PASV3	3	3	0.333333333333333	0	0
PASV5	1	0.985610760609162	0.0161072949839868	0	0
PASV8	1	1	1	0	0
PASV9	4	3.95683228182749	0.067576132138872	8	0
PASV19	1	0.985610760609162	0.338199770797262	0	0
PASV13	4	3.95683228182749	0.101312022652404	4.5	0
PASV11	1	0.985610760609162	1.01459931239178	0	0
PASV20	1	0.985610760609162	1.01459931239178	0	0
PASV30	3	2.97122152121832	0.20234654620407	1	0
PASV16	2	1.98561076060916	0.112550683311801	0	0
PASV15	1	0.985610760609162	1.01459931239178	0	0
PASV17	1	0.985610760609162	0.0563679832379044	0	0
PASV41	3	2.95683228182749	0.126831772786737	4	0
PASV24	5	4.94244304243665	0.0225417220140358	21.5	0
PASV25	2	2	0.5	0	0
PASV23	1	1	1	0	0
PASV28	1	0.985610760609162	1.01459931239178	0	0
PASV42	3	2.95683228182749	0.112733256932421	0	0
PASV44	3	2.97122152121832	0.0230525596774874	0	0
PASV35	4	3.95683228182749	0.168689427124667	2	0
PASV54	2	1.97122152121832	0.0253680008502706	56	0
PASV179	1	0.985610760609162	0.338199770797262	0	0
PASV78	6	5.95683228182749	0.0375168944372669	8.75	0
PASV45	1	0.985610760609162	1.01459931239178	0	0
PASV87	1	0.985610760609162	0.338248548440101	0	0
PASV29	2	1.98561076060916	0.0844472034406785	0	0
PASV56	2	1.97122152121832	0.144951717333687	0	0
PASV36	1	0.985610760609162	0.202937421416788	0	0
PASV93	1	0.985610760609162	0.126831772786737	0	0
PASV34	3	2.98561076060916	0.0919921153756259	0	0
PASV50	1	0.985610760609162	0.169099885398631	0	0
PASV111	1	1	1	0	0
PASV58	1	0.985610760609162	0.202919862478357	0	0
PASV74	2	1.97122152121832	0.0724736189924908	5	0
PASV52	3	2.98561076060916	0.0184381968367462	0	0
PASV100	4	3.94244304243665	0.0563666284662103	20	0
PASV48	3	2.97122152121832	0.144650014295287	2	0
PASV73	2	1.97122152121832	0.0149216223769098	0	0
PASV69	2	1.97122152121832	0.253649828097946	0	0
PASV81	2	2	0.5	0	0
PASV153	1	0.985610760609162	1.01459931239178	0	0
PASV38	4	3.98561076060916	0.25090257430135	0	0
PASV80	3	2.97122152121832	0.0921140464229441	0	0
PASV122	2	1.98561076060916	0.0147035315480385	0	0
PASV99	1	1	1	0	0
PASV105	4	3.98561076060916	0.25090257430135	0	0
PASV60	3	2.98561076060916	0.334939843195088	0	0
PASV90	2	1.97122152121832	0.0289903434667375	40	0
PASV47	1	1	1	0	0
PASV67	1	1	1	0	0
PASV57	4	3.95683228182749	0.0116601044009783	40.5	0
PASV112	1	0.985610760609162	0.202919862478357	0	0
