source	target	weight	correlation
PASV1	PASV214	1	1
PASV1	ASV16	1	1
PASV2	PASV88	1	1
PASV2	PASV631	0.985610760609162	-0.985610760609162
PASV2	PASV1503	0.985610760609162	0.985610760609162
PASV2	ASV72	0.985610760609162	0.985610760609162
PASV3	PASV249	0.985610760609162	-0.985610760609162
PASV3	PASV594	0.985610760609162	0.985610760609162
PASV3	PASV906	1	-1
PASV3	ASV1014	1	-1
PASV3	BN10	0.985610760609162	0.985610760609162
PASV5	PASV808	0.985610760609162	-0.985610760609162
PASV5	PASV721	0.985610760609162	0.985610760609162
PASV8	ASV225	0.985610760609162	-0.985610760609162
PASV8	ASV54	0.985610760609162	-0.985610760609162
PASV8	BN7	0.985610760609162	0.985610760609162
PASV9	PASV379	1	1
PASV9	PASV220	1	1
PASV9	ASV152	0.985610760609162	0.985610760609162
PASV19	PASV29	0.985610760609162	-0.985610760609162
PASV19	PASV2391	1	-1
PASV19	ASV371	0.985610760609162	-0.985610760609162
PASV19	ASV158	1	1
PASV19	ASV173	1	1
PASV11	ASV336	0.985610760609162	0.985610760609162
PASV11	ASV101	1	-1
PASV16	PASV300	0.985610760609162	-0.985610760609162
PASV16	PASV803	0.985610760609162	-0.985610760609162
PASV16	ASV874	0.985610760609162	0.985610760609162
PASV51	PASV1503	0.985610760609162	0.985610760609162
PASV51	ASV72	0.985610760609162	0.985610760609162
PASV51	ASV25	1	1
PASV15	PASV100	1	1
PASV15	PASV324	0.985610760609162	-0.985610760609162
PASV15	PASV943	1	-1
PASV17	BN7	0.985610760609162	-0.985610760609162
PASV41	PASV595	0.985610760609162	0.985610760609162
PASV41	PASV697	0.985610760609162	0.985610760609162
PASV24	PASV921	0.985610760609162	-0.985610760609162
PASV25	ASV262	1	-1
PASV25	ASV1367	0.985610760609162	0.985610760609162
PASV23	PASV208	1	-1
PASV23	PASV254	0.985610760609162	0.985610760609162
PASV23	PASV781	0.985610760609162	-0.985610760609162
PASV23	ASV10	1	-1
PASV26	PASV882	0.985610760609162	0.985610760609162
PASV26	ASV225	0.985610760609162	0.985610760609162
PASV28	PASV2780	0.985610760609162	0.985610760609162
PASV28	ASV1489	0.985610760609162	0.985610760609162
PASV28	s__VTX00444	1	-1
PASV44	ASV130	1	-1
PASV35	PASV53	0.985610760609162	-0.985610760609162
PASV35	ASV48	1	-1
PASV54	PASV584	0.985610760609162	0.985610760609162
PASV179	PASV95	1	1
PASV179	PASV77	1	1
PASV45	PASV349	1	1
PASV45	PASV429	1	-1
PASV45	ASV1389	0.985610760609162	-0.985610760609162
PASV87	ASV66	1	-1
PASV29	PASV153	0.985610760609162	-0.985610760609162
PASV29	PASV2404	0.985610760609162	0.985610760609162
PASV29	PASV2391	0.985610760609162	0.985610760609162
PASV29	ASV158	0.985610760609162	-0.985610760609162
PASV29	ASV173	0.985610760609162	-0.985610760609162
PASV36	PASV614	0.985610760609162	-0.985610760609162
PASV36	ASV56	0.985610760609162	0.985610760609162
PASV86	PASV72	1	-1
PASV86	PASV132	1	-1
PASV86	PASV510	0.985610760609162	-0.985610760609162
PASV86	PASV2780	0.985610760609162	0.985610760609162
PASV86	ASV1489	0.985610760609162	0.985610760609162
PASV34	PASV539	0.985610760609162	-0.985610760609162
PASV34	ASV284	0.985610760609162	-0.985610760609162
PASV50	PASV1114	1	1
PASV50	PASV232	1	-1
PASV50	s__VTX00308	1	-1
PASV111	PASV118	1	1
