node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
PASV1	2	2	0.5	0	0
PASV2	4	3.95683228182749	0.12659389107863	2	0
PASV3	5	4.95683228182749	0.0632986539362624	6.33333333333333	0
PASV5	2	1.97122152121832	0.0780461009532142	8	0
PASV8	3	2.95683228182749	0.0534011797255333	33	0
PASV9	3	2.98561076060916	0.112379469060865	0	0
PASV19	5	4.97122152121832	0.0722453653157482	2	0
PASV11	2	1.98561076060916	0.252727416472185	0	0
PASV16	3	2.95683228182749	0.0247486749569084	48	0
PASV51	3	2.97122152121832	0.101312022652404	0	0
PASV15	3	2.98561076060916	0.201741746168446	0	0
PASV17	1	0.985610760609162	0.0307458367770086	0	0
PASV41	2	1.97122152121832	0.169099885398631	3	0
PASV24	1	0.985610760609162	1.01459931239178	0	0
PASV25	2	1.98561076060916	0.101312022652404	0	0
PASV23	4	3.97122152121832	0.25181168933966	0.333333333333333	0
PASV26	2	1.97122152121832	0.0327294668322061	9	0
PASV28	3	2.97122152121832	0.0844472034406785	0	0
PASV44	1	1	1	0	0
PASV35	2	1.98561076060916	0.0675878170270157	0	0
PASV54	1	0.985610760609162	1.01459931239178	0	0
PASV179	2	2	0.5	0	0
PASV45	3	2.98561076060916	0.334939843195088	0	0
PASV87	1	1	1	0	0
PASV29	6	5.91366456365497	0.0780461009532142	18	0
PASV36	2	1.97122152121832	0.0191433832526752	12	0
PASV86	5	4.95683228182749	0.112368700097801	1.33333333333333	0
PASV34	2	1.97122152121832	0.507299656195892	1	0
PASV50	3	3	0.333333333333333	0	0
PASV111	3	2.97122152121832	0.0844502443098884	4.5	0
PASV74	1	0.985610760609162	0.20295498339428	0	0
PASV100	3	2.98561076060916	0.201741746168446	0	0
PASV48	3	2.9564058873621	0.338248548440101	2	0
PASV73	1	0.985610760609162	1.01459931239178	0	0
PASV43	1	1	1	0	0
PASV69	2	1.97122152121832	0.0247463246924826	36	0
PASV81	3	2.98561076060916	0.334939843195088	0	0
PASV153	3	2.97122152121832	0.0563209480709275	3.5	0
PASV38	4	3.98561076060916	0.25090257430135	0	0
PASV80	2	2	0.5	0	0
PASV118	3	2.97122152121832	0.0844502443098884	4.5	0
PASV122	1	0.985610760609162	0.202919862478357	0	0
PASV99	2	2	0.5	0	0
PASV105	2	1.97122152121832	0.036235689728278	16	0
PASV90	2	1.97122152121832	0.507299656195892	1	0
PASV67	4	3.98561076060916	0.126134360946922	0	0
PASV57	4	3.94244304243665	0.126824914048973	11	0
PASV112	3	2.97122152121832	0.0362173654321248	4	0
PASV76	4	3.97122152121832	0.0389792758131915	2.33333333333333	0
