	eCO2-1	eCO2-2	eCO2-3	eCO2-4	eCO2-5	eCO2-6	Abundance	Type	phylum	class	order	family	genus	species	
PASV1	0.133847122	0.111984901	0.091302296	0.121539792	0.116467443	0.092442592	0.111264024	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV2	0.025204467	0.038927336	0.068771626	0.037747719	0.031102548	0.029411765	0.038527577	phoD	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter	s__Lysobacter_antibioticus	
PASV3	0.054852155	0.035860333	0.038455489	0	0.043724442	0.03853413	0.035237758	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV5	0.038966656	0.033186537	0.032124882	0.042938031	0.039084618	0.028586033	0.03581446	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV8	0.026423404	0.027917584	0.024496697	0.023749607	0.022805914	0.035034602	0.026737968	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_lablabi	
PASV9	0.013408304	0.021154451	0.019974835	0.017065115	0.020800566	0.01529569	0.017949827	phoD	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_stutzeri	
PASV19	0.028821957	0.017654923	0.025007864	0.021115131	0.020721925	0.03633218	0.02494233	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer_sojae	
PASV13	0.013447625	0.012818496	0.01089179	0.01380151	0.013880151	0.011796162	0.012772622	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV11	0.008650519	0.011481598	0.013604907	0.011992765	0.011127713	0.014351997	0.01186825	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV20	0.020918528	0.019188424	0.014155395	0.024260774	0.018441334	0.009790815	0.017792545	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium_sp._B7	
PASV30	0.01671123	0.020014155	0.013683548	0.01675055	0.014391318	0.018205411	0.016626035	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
PASV16	0.011560239	0.009948097	0.010537905	0.010419943	0.009987417	0.008847122	0.010216787	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV51	0.012936458	0.018795219	0.02036804	0.016475307	0.0145486	0.012464612	0.015931373	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer_adhaerens	
PASV15	0.008965083	0.008453916	0.00868984	0.005740799	0.006684492	0.013919472	0.008742267	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_medicae	
PASV17	0.00798207	0.008493237	0.009318968	0.0101447	0.011481598	0.005937402	0.008892996	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV18	0.010616546	0.010380623	0.010577226	0.009240327	0.008375275	0.009279648	0.009744941	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV41	0.012936458	0.014941806	0.012425291	0.011717521	0.013998113	0.01018402	0.012700535	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
PASV24	0.008650519	0.011560239	0.008965083	0.011167034	0.007038377	0.006959736	0.009056831	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV25	0.00581944	0.007785467	0.011127713	0.006920415	0.0072743	0.006723813	0.007608525	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV23	0.005858761	0.003027682	0.005583517	0.007510223	0.00581944	0.007431582	0.005871868	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV26	0.005740799	0.004010695	0.005898081	0.007352941	0.008650519	0.00511167	0.006127451	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV28	0.007628185	0.005898081	0.005701478	0.006251966	0.007942749	0.004757785	0.006363374	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV42	0.007038377	0.005583517	0.009712174	0.007431582	0.004797106	0.004718465	0.00654687	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV44	0.005583517	0.005033029	0.004050016	0.003538849	0.00578012	0.002988361	0.004495649	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV35	0.005308273	0.004482542	0.003814092	0.003381567	0.00436458	0.005268953	0.004436668	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_medicae	
PASV54	0.004600503	0	0.006134004	0.006723813	0.005740799	0.003499528	0.004449775	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV179	0.005426235	0.009201007	0.008375275	0.0101447	0.01093111	0.004993709	0.008178673	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV78	0.007352941	0.005740799	0.008768481	0.006055363	0.006330607	0.009790815	0.007339834	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer_sojae	
PASV45	0.003892734	0.005386914	0.004875747	0.005544196	0.002870399	0.006134004	0.004783999	phoD	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_stutzeri	
PASV87	0.004285939	0.004797106	0.003184964	0.013211702	0.003814092	0.009751494	0.00650755	phoD	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_sp._LAB-08	
PASV29	0.003420887	0.004285939	0.003774772	0.004246618	0.004285939	0.001887386	0.003650257	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV56	0.002831079	0.004561183	0.004246618	0.004993709	0.004993709	0.003932054	0.004259725	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV36	0.003499528	0.00290972	0.002280591	0.002555835	0.003460208	0.006094684	0.003466761	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_icense	
PASV86	0.006409248	0.00578012	0.005190311	0.006330607	0.006684492	0.005662158	0.006009489	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium_meliloti	
PASV93	0.002634476	0.003302925	0.002555835	0.002044668	0.003224284	0.007117018	0.003479868	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV34	0.002831079	0.002870399	0.004875747	0.003853413	0.004639824	0.002870399	0.00365681	phoD	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas_stutzeri	
PASV50	0.002988361	0.003381567	0.005033029	0.002555835	0.004207298	0.004482542	0.003774772	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._SK17	
PASV111	0.003814092	0.003381567	0.005268953	0.005229632	0.003224284	0.004010695	0.004154871	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV58	0.002319912	0.003106323	0.003932054	0.004679144	0.004167977	0.002713117	0.003486421	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_soil_bacterium	
PASV74	0.003027682	0.005937402	0.002713117	0.003892734	0.004010695	0.00361749	0.00386652	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV52	0.003460208	0.002398553	0.004797106	0.003263605	0.00436458	0.001690783	0.003329139	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__Mesorhizobium_amorphae	
PASV100	0.003499528	0.003067002	0.003420887	0.001218937	0.002595156	0.004010695	0.002968701	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_icense	
PASV48	0.002123309	0.001730104	0.003696131	0.00365681	0.003696131	0.001887386	0.002798312	phoD	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__unclassified_o__Burkholderiales	g__Rhizobacter	s__Rhizobacter_gummiphilus	
PASV73	0.003106323	0.001533501	0.003302925	0.002555835	0.002437874	0.004915068	0.002975254	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_erythrophlei	
PASV43	0.001572822	0.002516515	0.001730104	0.00220195	0.001966027	0.002791758	0.002129863	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV69	0.003538849	0.002241271	0.00290972	0.002083989	0.003224284	0.004679144	0.003112876	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV81	0.002555835	0.005701478	0	0.003892734	0.003067002	0.002949041	0.003027682	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV153	0.006409248	0.003460208	0.004679144	0.004639824	0.003381567	0.009004404	0.005262399	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer_sojae	
PASV38	0.001966027	0.003499528	0.001926707	0.003932054	0.002044668	0.002359232	0.002621369	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV80	0.002949041	0.004285939	0.002713117	0.004010695	0.004797106	0.002752438	0.003584723	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Labrenzia	s__Labrenzia_sp._VG12	
PASV118	0.005229632	0.004954388	0.006212645	0.005504876	0.003696131	0.005308273	0.005150991	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer_adhaerens	
PASV122	0.003302925	0.001376219	0.00216263	0.004167977	0.003145643	0.003106323	0.002876953	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV59	0.002673797	0.003067002	0.002949041	0.002752438	0.003460208	0.002516515	0.002903167	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV99	0.003381567	0.001730104	0.002437874	0.00436458	0.005150991	0.003420887	0.003414334	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV105	0.002673797	0.002044668	0.003302925	0.001926707	0.002634476	0.005740799	0.003053895	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_icense	
PASV60	0.003696131	0.002634476	0.003184964	0.004050016	0	0.002949041	0.002752438	phoD	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium_sp._CCGE-LA001	
PASV90	0.004050016	0	0.003696131	0	0.004089336	0.003224284	0.002509961	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
PASV47	0.002752438	0.002634476	0.002044668	0.002988361	0.000983014	0.002752438	0.002359233	phoD	p__unclassified_d__Bacteria	c__unclassified_d__Bacteria	o__unclassified_d__Bacteria	f__unclassified_d__Bacteria	g__unclassified_d__Bacteria	s__uncultured_bacterium	
