id,Cercozoa,Conosa,Lobosa,Mesorhabditis,Acrobeloides,Cephalobus,Aphelenchus,Aphelenchoides,Paraphelenchus
LYL1,0.382323449,0.308981521,0.107720957,0.3,0.28,0.14,0.48,0.17,0.12
LYL2,0.435610944,0.207849878,0.237931528,0.18,0.36,0.16,0.46,0.16,0.08
LYL3,0.499785131,0.274602492,0.089528721,0.38,0.2,0.14,0.58,0,0.12
LYL4,0.408823951,0.339492909,0.114740009,0.36,0.28,0.16,0.26,0.3,0.2
LYL5,0.426299957,0.349663372,0.092966624,0.31,0.33,0.15,0.33,0.26,0.19
LYL6,0.195100988,0.174330325,0.55679702,0.41,0.27,0.13,0.4,0.24,0.14
LYL7,0.390774961,0.285775677,0.103137086,0.17,0.15,0.2,0.48,0.2,0
LYL8,0.541183212,0.218020341,0.071909469,0.2,0.2,0.23,0.58,0.06,0.08
LYL9,0.579859619,0.201690302,0.097550494,0.16,0.24,0.31,0.52,0.14,0.12
LYL10,0.384185647,0.299240796,0.124623979,0.19,0.28,0.26,0.46,0.16,0.08
LYL11,0.482022633,0.245810056,0.156854319,0.14,0.14,0.3,0.55,0.16,0.05
LYL12,0.356395932,0.347801175,0.097264002,0.11,0.17,0.3,0.55,0.17,0.06
