ID,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PASV1,0.133847122,0.111984901,0.091302296,0.121539792,0.116467443,0.092442592
PASV2,0.025204467,0.038927336,0.068771626,0.037747719,0.031102548,0.029411765
PASV3,0.054852155,0.035860333,0.038455489,0,0.043724442,0.03853413
PASV5,0.038966656,0.033186537,0.032124882,0.042938031,0.039084618,0.028586033
PASV8,0.026423404,0.027917584,0.024496697,0.023749607,0.022805914,0.035034602
PASV9,0.013408304,0.021154451,0.019974835,0.017065115,0.020800566,0.01529569
PASV19,0.028821957,0.017654923,0.025007864,0.021115131,0.020721925,0.03633218
PASV11,0.008650519,0.011481598,0.013604907,0.011992765,0.011127713,0.014351997
PASV16,0.011560239,0.009948097,0.010537905,0.010419943,0.009987417,0.008847122
PASV51,0.012936458,0.018795219,0.02036804,0.016475307,0.0145486,0.012464612
PASV15,0.008965083,0.008453916,0.00868984,0.005740799,0.006684492,0.013919472
PASV17,0.00798207,0.008493237,0.009318968,0.0101447,0.011481598,0.005937402
PASV41,0.012936458,0.014941806,0.012425291,0.011717521,0.013998113,0.01018402
PASV24,0.008650519,0.011560239,0.008965083,0.011167034,0.007038377,0.006959736
PASV25,0.00581944,0.007785467,0.011127713,0.006920415,0.0072743,0.006723813
PASV23,0.005858761,0.003027682,0.005583517,0.007510223,0.00581944,0.007431582
PASV26,0.005740799,0.004010695,0.005898081,0.007352941,0.008650519,0.00511167
PASV28,0.007628185,0.005898081,0.005701478,0.006251966,0.007942749,0.004757785
PASV44,0.005583517,0.005033029,0.004050016,0.003538849,0.00578012,0.002988361
PASV35,0.005308273,0.004482542,0.003814092,0.003381567,0.00436458,0.005268953
PASV54,0.004600503,0,0.006134004,0.006723813,0.005740799,0.003499528
PASV179,0.005426235,0.009201007,0.008375275,0.0101447,0.01093111,0.004993709
PASV45,0.003892734,0.005386914,0.004875747,0.005544196,0.002870399,0.006134004
PASV87,0.004285939,0.004797106,0.003184964,0.013211702,0.003814092,0.009751494
PASV29,0.003420887,0.004285939,0.003774772,0.004246618,0.004285939,0.001887386
PASV36,0.003499528,0.00290972,0.002280591,0.002555835,0.003460208,0.006094684
PASV86,0.006409248,0.00578012,0.005190311,0.006330607,0.006684492,0.005662158
PASV34,0.002831079,0.002870399,0.004875747,0.003853413,0.004639824,0.002870399
PASV50,0.002988361,0.003381567,0.005033029,0.002555835,0.004207298,0.004482542
PASV111,0.003814092,0.003381567,0.005268953,0.005229632,0.003224284,0.004010695
PASV74,0.003027682,0.005937402,0.002713117,0.003892734,0.004010695,0.00361749
PASV100,0.003499528,0.003067002,0.003420887,0.001218937,0.002595156,0.004010695
PASV48,0.002123309,0.001730104,0.003696131,0.00365681,0.003696131,0.001887386
PASV73,0.003106323,0.001533501,0.003302925,0.002555835,0.002437874,0.004915068
PASV43,0.001572822,0.002516515,0.001730104,0.00220195,0.001966027,0.002791758
PASV69,0.003538849,0.002241271,0.00290972,0.002083989,0.003224284,0.004679144
PASV81,0.002555835,0.005701478,0,0.003892734,0.003067002,0.002949041
PASV153,0.006409248,0.003460208,0.004679144,0.004639824,0.003381567,0.009004404
PASV38,0.001966027,0.003499528,0.001926707,0.003932054,0.002044668,0.002359232
PASV80,0.002949041,0.004285939,0.002713117,0.004010695,0.004797106,0.002752438
PASV118,0.005229632,0.004954388,0.006212645,0.005504876,0.003696131,0.005308273
PASV122,0.003302925,0.001376219,0.00216263,0.004167977,0.003145643,0.003106323
PASV99,0.003381567,0.001730104,0.002437874,0.00436458,0.005150991,0.003420887
PASV105,0.002673797,0.002044668,0.003302925,0.001926707,0.002634476,0.005740799
PASV90,0.004050016,0,0.003696131,0,0.004089336,0.003224284
PASV67,0.001769424,0.00290972,0.003853413,0.001848065,0.002870399,0.001533501
PASV57,0.003145643,0.002398553,0.003027682,0.006016043,0.000983014,0.001100975
PASV112,0.002044668,0.002477194,0.00220195,0.001376219,0.001218937,0.003696131
PASV76,0.002437874,0.001297578,0.003027682,0.00220195,0.002831079,0.004679144
PASV64,0.002516515,0.003184964,0.002988361,0.001258257,0.002359232,0.002988361
PASV218,0.004993709,0.003342246,0.003067002,0.005308273,0.004757785,0.002870399
PASV72,0.001572822,0.002123309,0.002949041,0.001966027,0.001179616,0.002280591
PASV102,0.00145486,0.002280591,0.00074709,0.001651463,0.004521862,0.005622837
PASV92,0.002319912,0.00070777,0.002595156,0.003774772,0.002241271,0.002516515
PASV66,0.002005348,0.002005348,0.001651463,0.001415539,0.001336898,0.000825731
PASV88,0.001376219,0.002359232,0.002516515,0.002123309,0.001966027,0.001887386
PASV53,0,0.004167977,0.005308273,0.005426235,0.004718465,0
PASV157,0.003735451,0.005150991,0.003814092,0.00361749,0.002555835,0.003381567
PASV96,0.002516515,0.000904372,0.001572822,0.000943693,0.001533501,0.005937402
PASV75,0.001887386,0.002319912,0.003774772,0.001690783,0.001376219,0.000983014
PASV176,0.001651463,0.002791758,0.002280591,0.002398553,0.002005348,0.001612142
PASV139,0.002123309,0.001848065,0.002673797,0.00145486,0.00220195,0.002988361
PASV252,0.00290972,0.003971375,0.002398553,0.002713117,0.004246618,0.002595156
PASV71,0.000550488,0.001808745,0.00220195,0.002083989,0.002280591,0.001415539
PASV190,0.000943693,0.003499528,0.002319912,0.002831079,0.00290972,0.001730104
PASV374,0.001730104,0.001140296,0.001218937,0.003184964,0.001494181,0.001218937
PASV165,0.003302925,0.003814092,0.004246618,0,0.003892734,0
PASV207,0.002988361,0.001100975,0.001887386,0.002595156,0.002437874,0.002083989
PASV95,0.001494181,0.001769424,0.001651463,0.002241271,0.002595156,0
PASV133,0.002398553,0.002398553,0.001690783,0.002083989,0.003067002,0.001848065
PASV119,0.001690783,0.001612142,0.002634476,0.002437874,0.001769424,0.001100975
PASV151,0.00220195,0.003460208,0.002437874,0.002044668,0.001572822,0.001887386
PASV5568,0.002437874,0,0,0,0,0
PASV115,0.002005348,0.001258257,0.002359232,0.001336898,0.000904372,0.002241271
PASV77,0.001140296,0.00145486,0.001376219,0.001494181,0.001572822,0.001100975
PASV180,0.002083989,0.000471846,0.000983014,0.002123309,0.00145486,0.000943693
PASV132,0.00145486,0.001769424,0.002398553,0.001730104,0.001297578,0.002319912
PASV146,0.001769424,0.001179616,0.001612142,0.002477194,0.001887386,0.001336898
PASV284,0.002516515,0.001022334,0.001140296,0.002044668,0.00220195,0.002044668
PASV94,0.001612142,0.00070777,0.001336898,0.001887386,0.001258257,0.002241271
PASV155,0.001415539,0.001612142,0.000904372,0.001218937,0.00216263,0.001218937
PASV208,0.001651463,0.002870399,0.002005348,0.000983014,0.001730104,0.001100975
PASV120,0.001651463,0.001730104,0.001612142,0.000865052,0.001572822,0.001022334
PASV344,0.001572822,0.001494181,0.001297578,0.002005348,0.002044668,0.002437874
PASV140,0.002831079,0.00216263,0,0.003538849,0.002870399,0.000983014
PASV614,0,0.000825731,0.001297578,0.001258257,0.000511167,0
PASV324,0.001651463,0.002398553,0.002398553,0.003381567,0.003302925,0.001572822
PASV141,0.001808745,0.001533501,0.001690783,0.001769424,0.001926707,0.000629129
PASV2373,0.004443221,0,0,0,0,0.002634476
PASV379,0.00070777,0.003892734,0.003184964,0.00220195,0.003538849,0.001926707
PASV107,0,0,0.003735451,0,0.002949041,0
PASV213,0.000825731,0.001494181,0.001376219,0.00070777,0.000393205,0.003263605
PASV137,0.001494181,0.000786411,0.000983014,0.001218937,0.001808745,0.000825731
PASV189,0.001769424,0.002752438,0.001966027,0.001730104,0.002477194,0.00145486
PASV212,0.001376219,0.001808745,0.001533501,0.001494181,0.001336898,0.001769424
PASV172,0.001769424,0.000825731,0.000904372,0.001297578,0.001258257,0.001100975
PASV117,0.001376219,0.002870399,0.001612142,0.001022334,0,0.001061655
PASV234,0.000786411,0.001218937,0.002044668,0.001218937,0.001769424,0.001297578
PASV125,0.002595156,0.00145486,0.001179616,0.002123309,0.001887386,0.000786411
PASV164,0.001100975,0.001336898,0.002044668,0.001258257,0.00145486,0
PASV163,0.001572822,0.001336898,0.00220195,0.001100975,0.001494181,0.001218937
PASV259,0.001061655,0.002083989,0.002241271,0.000550488,0.001179616,0.002398553
PASV98,0.000629129,0.001140296,0.00220195,0.001415539,0.000825731,0.001061655
PASV311,0.000825731,0,0.001612142,0.00070777,0.000983014,0.002870399
PASV167,0.001730104,0.001336898,0.003027682,0.002280591,0.000904372,0.000943693
PASV437,0.00145486,0.001061655,0.001690783,0.001494181,0.002005348,0.001336898
PASV262,0.001336898,0.001533501,0.000550488,0.002044668,0.001730104,0.001140296
PASV373,0.001651463,0.001690783,0.00074709,0.001572822,0.001297578,0.001179616
PASV124,0.000275244,0.001218937,0.000668449,0.000393205,0.000275244,0.001494181
PASV264,0.001848065,0.001218937,0.002280591,0.00145486,0.000983014,0.000432526
PASV214,0.002359232,0.001258257,0.000943693,0.001966027,0.001926707,0.000983014
PASV299,0.001258257,0.001769424,0.001730104,0.00145486,0.001022334,0.001848065
PASV109,0.001100975,0.001022334,0.001179616,0.001140296,0.001769424,0.000825731
PASV219,0.000314564,0.00145486,0.000904372,0.00145486,0.002949041,0.001140296
PASV270,0.001572822,0.001100975,0.001966027,0.000786411,0.000668449,0.001179616
PASV142,0.001022334,0.000825731,0.000511167,0.000353885,0.001572822,0.001494181
PASV583,0.00145486,0,0,0,0,0.005033029
PASV225,0.000865052,0.001415539,0.001494181,0.001966027,0.001336898,0.00070777
PASV478,0.001336898,0.000865052,0.00074709,0.00074709,0.002673797,0.00074709
PASV230,0.001100975,0.001297578,0.00145486,0.000865052,0.000943693,0.000275244
PASV162,0.000550488,0,0.001769424,0,0,0.001100975
PASV175,0.001140296,0.00074709,0.002123309,0.000314564,0.000314564,0.000943693
PASV386,0.001612142,0.000943693,0.00070777,0.00070777,0.00070777,0.001926707
PASV228,0.000511167,0.001061655,0,0.000668449,0.000393205,0.000589808
PASV223,0.001258257,0.001179616,0,0.002673797,0,0.000786411
PASV2404,0.001572822,0.001808745,0.001730104,0.001769424,0.003145643,0.000825731
PASV320,0.000983014,0.001376219,0.00145486,0.001179616,0.001336898,0.000904372
PASV195,0.000904372,0.000983014,0.001100975,0.001966027,0.000235923,0.001297578
PASV171,0.001022334,0.000943693,0.00074709,0.001100975,0.000550488,0.000511167
PASV3220,0.001966027,0.001926707,0,0.002477194,0,0.002319912
PASV240,0.001218937,0.001730104,0,0,0.001258257,0.000550488
PASV220,0.000471846,0.004050016,0.000786411,0.000589808,0.001376219,0.000511167
PASV226,0.001179616,0.000904372,0.000668449,0.001494181,0.000589808,0.000786411
PASV263,0.000668449,0,0.000865052,0.00074709,0.001376219,0.000629129
PASV297,0.001415539,0.001494181,0.001336898,0.001022334,0.001258257,0.001297578
PASV168,0.000432526,0.000786411,0.000943693,0.001808745,0.000550488,0.000668449
PASV261,0,0,0,0,0,0.002044668
PASV415,0.000904372,0.000943693,0.000511167,0.000904372,0.000393205,0.001769424
PASV1114,0.001140296,0.001376219,0.002005348,0.001061655,0.001612142,0.001887386
PASV210,0.00074709,0.001572822,0.00074709,0.000983014,0.000825731,0.000786411
PASV121,0.001376219,0,0,0.00145486,0,0.001218937
PASV273,0.000393205,0.001100975,0.000668449,0.000432526,0.000235923,0.00070777
PASV239,0.000550488,0.001258257,0.001022334,0.001100975,0.001061655,0
PASV333,0.00074709,0.001494181,0,0.001179616,0.000668449,0.000943693
PASV701,0.000865052,0.001572822,0.001651463,0.002555835,0.001533501,0.000983014
PASV355,0.001100975,0.001494181,0.000983014,0.00074709,0.001061655,0.000550488
PASV475,0.001179616,0.001258257,0.001179616,0.001218937,0.001651463,0.001140296
PASV4085,0,0.002280591,0.002359232,0.003499528,0.000983014,0
PASV498,0.001022334,0.001022334,0.000825731,0.000668449,0.000904372,0.000511167
PASV202,0.000275244,0.00070777,0.000983014,0.000471846,0.000865052,0.000589808
PASV249,0.000235923,0.001218937,0.001218937,0.00145486,0.000314564,0.000471846
PASV152,0,0,0,0,0,0.001730104
PASV314,0.000825731,0.001258257,0.001297578,0.000904372,0.001179616,0.000668449
PASV232,0.00145486,0.000904372,0,0.001533501,0.000629129,0.000393205
PASV643,0.001179616,0.000471846,0,0.002595156,0.000629129,0.002083989
PASV254,0.000668449,0,0.000511167,0.000943693,0.000668449,0.00074709
PASV312,0,0,0,0.00074709,0,0.000865052
PASV209,0,0,0.001415539,0.001022334,0.001061655,0
PASV181,0.000550488,0.001061655,0,0.001336898,0.000865052,0
PASV476,0,0.001887386,0.001061655,0.001218937,0,0.001887386
PASV2429,0,0,0,0,0,0.007431582
PASV376,0.001336898,0,0.000943693,0.002437874,0.000471846,0.000983014
PASV278,0,0,0,0,0.001926707,0.001572822
PASV350,0.000786411,0.000432526,0.000983014,0.000393205,0.000668449,0.000393205
PASV183,0.002398553,0,0,0,0,0.000825731
PASV200,0,0.000432526,0.000943693,0.000589808,0.000668449,0.00074709
PASV399,0.001022334,0.000314564,0,0.001179616,0.000629129,0.000235923
PASV2391,0.000668449,0.001336898,0.000865052,0.000904372,0.001061655,0.000550488
PASV569,0.001140296,0.001926707,0.001415539,0.000943693,0.000825731,0.001100975
PASV358,0.000629129,0.00070777,0.000904372,0,0.000668449,0.001376219
PASV166,0,0.001533501,0.001140296,0.001061655,0,0.000157282
PASV4813,0,0,0,0,0,0.004443221
PASV2387,0.001100975,0,0.000825731,0,0,0.00074709
PASV425,0,0.00074709,0.001376219,0.001769424,0.00145486,0.000943693
PASV158,0.000904372,0.000275244,0.000589808,0.000471846,0.001140296,0.000275244
PASV424,0.000314564,0.00074709,0.001336898,0.001100975,0.000432526,0.000432526
PASV300,0,0.001022334,0,0.000353885,0.00070777,0.001140296
PASV266,0,0.002083989,0,0,0.001100975,0.000668449
